Finland,Canada,2006,,4,,aircraft engine,aircraft engine,4,,2007,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 MP aircraft from Spain,0.75,3,3
Finland,Canada,2010,,2,,aircraft engine,aircraft engine,2,,2011,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 1 C-295 transport aircraft from Spain,0.75,1.5,1.5
Finland,Canada,1957,?,2,?,DHC-2 Beaver,light transport aircraft,2,,1958,New,,0.38,0.76,0.76
Finland,Denmark,2014,?,171,,Stinger,portable SAM,171,,2014,Second hand,Second-hand; for training,0.03,5.47,5.47
Finland,Denmark,2014,?,535,,BGM-71 TOW,anti-tank missile,535,,2015,New,Second-hand,0.01,5.35,5.35
Finland,France,2023,,500,?,BONUS-2,guided shell,0,,,New,EUR35 m deal,0.04,20,0
Finland,France,2014,,360,,BONUS-2,guided shell,360,?,2014; 2015; 2016,New,EUR16 m deal,0.04,14.4,14.4
Finland,France,1958,?,80,?,CM-170 Magister,trainer aircraft,80,?,1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967,New,Incl 62 assembled/produced under licence in Finland,1,80,80
Finland,France,1988,,20,,Crotale-NG,SAM system,20,?,1992; 1993,New,Part of $230 m deal,10,200,200
Finland,France,2000,?,4,,EOMS,Naval EO system,4,?,2003; 2005; 2006,New,For 4 Hamina FAC produced in Finland,2.5,10,10
Finland,France,2009,,12,,Ground Master-400,air search radar,12,?,2013; 2014; 2015,New,Part of EUR200 m deal (incl 2 more for Estonia); Ground Master-403 version; Finnish designation KEVA-2010,13,156,156
Finland,France,1989,?,400,?,Mistral,portable SAM,400,?,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002,New,For Sako (modified SADRAL) SAM system on Hamina FAC; Hameenma and modernized Pohjanmaa minelayers and on modernized Helsinki and Rauma FAC,0.09,36,36
Finland,France,2001,,10,?,NH-90 TTH,transport helicopter,10,?,2008; 2010; 2011; 2012; 2013,New,Part of $350 m deal (for 20 NH-90 from France and Italy; $520 m incl support; offsets incl assembly of 18),7,70,70
Finland,France,1961,?,200,?,SS-11,anti-tank missile,200,?,1962; 1963,New,Finnish designation RO-63,0.01,2,2
Finland,France,1990,,22,,TRS-2215/2230,air search radar,22,?,1992; 1993; 1994,New,,13.5,297,297
Finland,France,1992,?,5,,TRS-22XX,air search radar,5,?,1994; 1995,New,,12.5,62.5,62.5
Finland,Germany,1992,,72,?,2S1 122mm,self-propelled gun,72,?,1992,Second hand,Second-hand (former GDR equipment inherited by Germany); Finnish designation PsH-74; up till 157 more delivered probably for spare parts only,0.36,25.92,25.92
Finland,Germany,2002,,16,,ASRAD,mobile SAM system,16,?,2005; 2006; 2007,New,Part of EUR135 m deal,0.63,10.08,10.08
Finland,Germany,1993,,110,,BMP-1,IFV,110,,1993,Second hand,Second-hand (former GDR equipment inherited by Germany),0.36,39.6,39.6
Finland,Germany,1993,?,30,?,BMP-1,IFV,30,,1994,Second hand,Second-hand (former GDR equipment inherited by Germany),0.36,10.8,10.8
Finland,Germany,1992,,218,?,D-30 122mm,towed gun,218,,1992,Second hand,Second-hand (former GDR equipment inherited by Germany); probably incl some or more delivered for spares only,0.14,30.52,30.52
Finland,Germany,2002,,124,,Leopard-2A4,tank,124,,2003,Second hand,Second-hand; $66 m deal,1.6,198.4,198.4
Finland,Germany,1993,?,166,?,M-46 130mm,towed gun,166,,1994,Second hand,Second-hand (former GDR equipment inherited by Germany); probably incl some for spare parts only,0.26,43.16,43.16
Finland,Germany,1992,,3,,MT-LB,APC,3,,1992,Second hand,Second-hand (former GDR equipment inherited by Germany),0.1,0.3,0.3
Finland,Germany,1991,?,36,,RM-70 122mm,self-propelled MRL,36,?,1991,Second hand,Second-hand (former GDR equipment); Finnish designation Rak H-89,0.36,12.96,12.96
Finland,Germany,1987,,8,,ship engine,ship engine,8,,1990; 1991; 1992,New,MTU-16V-538 TB93 (3750hp) diesel engine; for 4 Rauma FAC produced in Finland,1.2,9.6,9.6
Finland,Germany,1978,?,12,,ship engine,ship engine,12,,1981; 1985; 1986,New,MTU-16V-538 TB93 (3410hp) diesel engine; for 4 Helsinki FAC produced in Finland,1.2,14.4,14.4
Finland,Germany,1996,?,8,,ship engine,ship engine,8,,1998; 2005; 2006,New,MTU-16V-538 TB93 (3750hp) diesel engine; for 4 Hamina FAC produced in Finland,1.2,9.6,9.6
Finland,Germany,2020,,16,,ship engine,ship engine,0,,,New,12V17D-MEL (2580hp) diesel engine; for 4 Pohjanmaa frigate produced in Finland,1.2,19.2,0
Finland,Germany,1992,,97,,T-72,tank,97,,1992,Second hand,Second-hand (former GDR equipment inherited by Germany),0.86,83.03,83.03
Finland,Germany,2002,,3,,TRS-3D,air/sea search radar,3,,2003; 2005; 2006,New,TRS-3D/16 version for 3 Hamina FAC produced in Finland,10,30,30
Finland,Germany,1996,?,1,,TRS-3D,air/sea search radar,1,,1998,New,TRS-3D/16 version for 1 Hamina FAC produced in Finland,10,10,10
Finland,Germany,2006,?,2,,TRS-3D,air/sea search radar,2,,2007,New,TRS-3D/16 version for modernization of 2 Hämeenmaa minelayers,10,20,20
Finland,Iceland,1980,,4,,PA-28 Cherokee,light aircraft,4,,1980,Second hand,Second-hand; PA-28-200 version,0.06,0.22,0.22
Finland,Israel,2023,,,,Davids Sling,ABM system,0,,,New,EUR316 m deal,0,0,0
Finland,Israel,2018,,75,?,Gabriel-5 ANAM,anti-ship missile,45,?,2020; 2021; 2022,New,EUR162 m deal (EUR193 m option on more); Gabriel-5 version; Finnish designation SSM-2020; for Hamina FAC and Pohjanmaa (Squadron 2020) corvettes and coastal defence systems,1.2,90,54
Finland,Israel,2008,,10,,Litening,aircraft EO system,10,?,2008; 2009,New,$30 m deal; Litening AT version; for F/A-18C combat aircraft; ordered via USA; from US production line,1,10,10
Finland,Israel,2019,,,,EL/M-2311 C-MMR,air search radar,0,,,New,,15,0,0
Finland,Israel,1999,,6,,Ranger,UAV,6,,2001,New,$20 m deal; ordered via Swiss company,0.2,1.2,1.2
Finland,Israel,2003,,6,,Ranger,UAV,6,?,2005,New,$20 m deal; ordered via Swiss company; Ranger-2 version,0.2,1.2,1.2
Finland,Israel,2002,,200,?,Spike-ER,anti-tank missile,200,?,2005; 2006,New,$22 m deal; for coastal defence; from German EuroSpike production line,0.06,12,12
Finland,Israel,2006,?,200,?,Spike-ER,anti-tank missile,200,?,2008; 2009,New,For coastal defence,0.06,12,12
Finland,Israel,2022,,100,?,Spike-ER,anti-tank missile,0,,,New,EUR224 m deal (incl Spike-SR; Spike-LR; Spike-ER),0.06,6,0
Finland,Israel,2000,,500,?,Spike-MR/LR,anti-tank missile,500,?,2005; 2006,New,$50 m deal; from German EuroSpike production line; Spike-2.5 or Spike-MR version,0.03,15,15
Finland,Israel,2022,,500,?,Spike-MR/LR,anti-tank missile,0,,,New,EUR224 m deal (incl Spike-SR; Spike-LR; Spike-ER); Spike-LR2 version,0.03,15,0
Finland,Israel,2022,,1000,?,Spike-SR,anti-tank missile,0,,,New,EUR224 m deal (incl Spike-SR; Spike-LR; Spike-ER),0.02,20,0
Finland,Israel,2023,,,,Stunner,ABM missile,0,,,New,,0,0,0
Finland,Italy,1968,?,1,,Bell-206/OH-58,light helicopter,1,,1968,New,AB-206A (Bell-206A) version,0.7,0.7,0.7
Finland,Italy,1984,?,2,,Bell-412,helicopter,2,,1985; 1986,New,AB-412EP version; for border guard,5,10,10
