Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Angola,Algeria,1980,,4,,N-262 Fregate,transport aircraft,4,,1980,Second hand,Second-hand; incl for MP,1.5,6,6
Argentina,Austria,2013,?,3,,DA42,light aircraft,3,,2016,New,,0.35,1.05,1.05
Argentina,Austria,1985,?,10,,Greif,ARV,10,?,1986,New,,0.75,7.5,7.5
Argentina,Austria,1981,,57,,SK-105 Kurassier,light tank,57,,1981,New,Originally ordered by and produced for Chile but delivery cancelled and sold to Argentina,0.7,39.9,39.9
Argentina,Austria,1978,?,93,?,SK-105 Kurassier,light tank,93,?,1978; 1979,New,No. could be 49 or 70,0.7,65.1,65.1
Argentina,Austria,2006,?,4,?,SK-105 Kurassier,light tank,4,,2007,New,SK-105 chassis; fitted with turret from AMX-13 tank in Argentina; Argentine designation Patagon,0.7,2.8,2.8
Australia,Austria,2016,,6,,Camcopter S-100,UAV,6,?,2017; 2018,New,AUD16 m ($12 m) 'Navy Minor Project 1942' 3-year lease (extended 2021 for 3 more years),0.2,1.2,1.2
Australia,Austria,2018,,8,,DA40,light aircraft,8,,2019,New,DA40NG version; for training; incl 6 from Canadian production line,0.15,1.2,1.2
Bangladesh,Austria,2017,?,4,?,DA40,light aircraft,4,,2019,New,DA40NG version,0.15,0.6,0.6
Belgium,Austria,1997,,54,,Pandur,APC,54,?,1998; 1999; 2000,New,$42 m deal (offsets 100% incl production of componets and assembly in Belgium); incl 5 command post; 4 ARV and 4 ambulance version,0.3,16.2,16.2
Belgium,Austria,2001,?,6,,Pandur,APC,6,?,2002,New,Ambulance version; incl production of components and assembly in Belgium,0.3,1.8,1.8
Burkina Faso,Albania,2011,?,12,?,PM-43 120mm,mortar,12,,2011,Second hand,Probably second-hand,0.1,1.2,1.2
Burkina Faso,Austria,2015,?,1,,DA42MPP,reconnaissance aircraft,1,?,2016,New,,0.5,0.5,0.5
Bolivia,Argentina,2006,,37,?,M-3/M-5 Half-track,APC,37,?,2006,Second hand,Second-hand; aid; M-5 and M-9 versions,0.06,2.22,2.22
Bolivia,Austria,1977,?,6,,4K-7FA,APC,6,,1978,New,,0.3,1.8,1.8
Bolivia,Austria,2009,?,9,,DA40,light aircraft,9,,2010,New,$4 m deal; for training; supplier could be Canada,0.15,1.35,1.35
Bolivia,Austria,1978,?,2,,Greif,ARV,2,?,1979; 1980,New,,0.75,1.5,1.5
Bolivia,Austria,1978,?,34,,SK-105 Kurassier,light tank,34,?,1979; 1980,New,,0.7,23.8,23.8
Botswana,Austria,2000,,2,,4K-7FA,APC,2,,2000,New,Part of ASH500 m deal; CP version,0.3,0.6,0.6
Botswana,Austria,1997,,20,,SK-105 Kurassier,light tank,20,,2000,New,Part of ASH500 m deal; option on 30 more not used,0.7,14,14
Brazil,Austria,2000,,1,,Greif,ARV,1,,2001,New,,0.75,0.75,0.75
Brazil,Austria,2000,,17,,SK-105 Kurassier,light tank,17,,2001,New,SK-105A2 version,0.7,11.9,11.9
Brazil,Australia,1972,,50,?,Ikara,ASW missile,50,?,1976; 1977; 1978; 1979; 1980,New,For 4 Niteroi frigates; Ikara-3 version,0.6,30,30
Brunei,Australia,1995,,2,,Teraban,landing craft,2,,1996,New,,4.9,9.8,9.8
Canada,Australia,2018,,18,,F/A-18C Hornet,FGA aircraft,18,?,2019; 2020; 2021,Second hand,Second-hand (7 more delivered for spare parts),15,270,270
Canada,Australia,2004,,8,,Orca,patrol craft,8,,2006; 2007; 2008,New,CAD91 m deal; produced under licence in Canada; mainly for use as training ship,8.5,68,68
Chad,Australia,1983,,1,,C-130B Hercules,transport aircraft,1,,1983,Second hand,Second-hand C-130A version (financed by France),9.2,9.2,9.2
Chile,Australia,2019,,2,,Perry,frigate,2,,2020,Second hand,Second-hand; Chilean designation Latorre,120,240,240
Chile,Australia,2020,?,16,?,Standard Missile-2MR,SAM,16,?,2020,Second hand,Second-hand; for Perry (Latorre) frigates,0.12,1.92,1.92
Cambodia,Australia,1971,?,6,,C-47 Skytrain,transport aircraft,6,,1972,Second hand,Second-hand; aid,1,6,6
Colombia,Argentina,1989,,3,,IA-58A Pucara,ground attack aircraft,3,,1990,Second hand,Second-hand; aid; for anti-narcotics operations,2,6,6
Congo,Angola,1979,,1,,Noratlas,transport aircraft,1,,1979,Second hand,Second-hand; aid,2.8,2.8,2.8
Czechia,Austria,2009,,107,,Pandur-2,APC,107,?,2009; 2010; 2011; 2012; 2013,New,CZK14.4 b ($650 m; offsets 150% incl assembly of 90 in Czech Republic) deal; incl 11 command post; 4 ARV and 4 ambulance version,0.3,32.1,32.1
Czechia,Austria,2017,,20,,Pandur-2,APC,20,?,2019; 2020,New,CZK2.1 b ($82 m) deal; produced in Czech Republic; incl 6 command post and 14 communications version,0.3,6,6
Denmark,Argentina,1988,,3,,aircraft engine,aircraft engine,3,,1988,Second hand,Second-hand; Rolls-Royce Gem-2 (890hp) turboshaft; spares for Lynx helicopters,0.14,0.42,0.42
Denmark,Argentina,1987,?,1,,Lynx,ASW helicopter,1,,1987,Second hand,Second-hand; $3.5 m deal,4,4,4
Ecuador,Argentina,1995,?,18,,M-101A1 105mm,towed gun,18,,1995,Second hand but modernized,Second-hand but modernized before delivery; part of illegal $34 m deal,0.3,5.35,5.35
Egypt,Austria,2001,,4,?,Camcopter S-100,UAV,4,?,2002,New,Financed by US 'FMF' aid,0.2,0.8,0.8
Egypt,Austria,2001,,108,,M-60A1 Patton-2,tank,108,,2002,Second hand,Second-hand; $27 m deal,0.72,77.76,77.76
Timor-Leste,Australia,2017,?,2,,Guardian,patrol craft,0,,,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; delivery planned 2024,7,14,0
Fiji,Australia,1992,,3,,ASI-315,patrol craft,3,,1994; 1995,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Fijian designation Kula,6,18,18
Fiji,Australia,2017,,10,,Bushmaster,APC,10,,2017,Second hand,Second-hand; for Fijian UN peacekeeping forces (in Golan/Syria),0.14,1.4,1.4
Fiji,Australia,2014,,2,,Guardian,patrol craft,1,,2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Fijian designation Savenaca; delivery planned 2020-2024,7,14,7
