Algeria,Denmark,2012,,2,,Scanter-6000,air/sea search radar,2,,2014; 2015,New,For modernization of 2 LSL landing ships; Scanter-6002 version,4.75,9.5,9.5
Antigua and Barbuda,Dominican Republic,2021,,1,,BN-2 Islander,light transport aircraft,1,,2022,Second hand,Second-hand,0.24,0.24,0.24
Argentina,Denmark,2018,,3,,Scanter-4100,air/sea search radar,2,,2021,New,For 3 Gowind OPV from France,4.75,14.25,9.5
Argentina,Denmark,2018,,3,,Scanter-6000,air/sea search radar,3,,2021; 2022,New,For 3 Gowind OPV from France,4.75,14.25,14.25
Australia,Denmark,2018,,12,,Scanter-6000,air/sea search radar,0,,,New,Scanter-6002 version; for 12 OPV-80 (Sea-1180 Phase-1) OPV from Germany,4.75,57,0
Belgium,Denmark,2021,,6,,Scanter-6000,air/sea search radar,0,,,New,For 6 MCM-2720 MCM ships from France,4.75,28.5,0
Brazil,Denmark,2011,,3,,Scanter-4100,air/sea search radar,3,,2012; 2013,New,For 3 VT-90M OPV from UK,4.75,14.25,14.25
Brunei,Denmark,2007,?,3,,Scanter-4100,air/sea search radar,3,,2011,New,For 3 OPV-80 (Darussalam) corvettes from FRG,4.75,14.25,14.25
Brunei,Denmark,2012,?,1,,Scanter-4100,air/sea search radar,1,,2014,New,For 1 OPV-80 (Darussalam) corvette from FRG,4.75,4.75,4.75
Canada,Denmark,2006,,10,,Sperwer,UAV,10,?,2007,Second hand,Second-hand (only few years old); for use in Afghanistan,0.08,0.8,0.8
Chile,Denmark,1964,,1,,Araucano,replenishment ship,1,,1967,New,,120,120,120
Chile,Denmark,1967,,1,,Tjaldur,transport ship,1,,1967,Second hand,Second-hand; Chilean designation Aquiles,8,8,8
Chile,Denmark,1987,,2,,Veritas,tug,2,,1988,Second hand,Second-hand; supplier uncertain; Chilean designation Galvarino,8,16,16
Colombia,Dominican Republic,2017,,2,,A-37B Dragonfly,ground attack aircraft,2,,2017,Second hand,Second-hand; OA-37B version,2,4,4
Equatorial Guinea,Denmark,1999,,1,,Daphne,patrol craft,1,,1999,Second hand,Second-hand,3,3,3
Estonia,Denmark,2000,,1,,Beskytteren,OPV,1,,2000,Second hand,Second-hand; aid; Estonian designation Pitka,18,18,18
Estonia,Denmark,1994,?,1,,Maagen,patrol craft,1,,1994,Second hand,Second-hand; Estonian designation Ahti,2.68,2.68,2.68
