Albania,East Germany (GDR),1963,?,2,?,Il-14,transport aircraft,2,?,1963,Second hand,Second-hand; VEP-14P version,1.6,3.2,3.2
Algeria,Egypt,1962,?,12,,Bu-181 Bestmann,trainer aircraft,12,,1963,New,Gomhouria version,0.14,1.68,1.68
Algeria,Egypt,1992,,200,?,Fahd,APC,200,?,1992; 1993; 1994; 1995,New,For police,0.25,50,50
Algeria,Egypt,1962,?,5,,MiG-15,fighter aircraft,5,,1963,Second hand,Second-hand; aid,1.28,6.4,6.4
Algeria,Egypt,1978,?,20,?,Walid,APC,20,?,1978,New,,0.16,3.2,3.2
Algeria,Egypt,1964,,12,?,Yak-11,trainer aircraft,12,?,1964,Second hand,Second-hand (but possibly modernized in Czechoslovakia before delivery),0.12,1.44,1.44
Algeria,Egypt,1962,?,2,,YMS,minesweeper,2,,1962,Second hand,Second-hand; aid,3.6,7.2,7.2
African Union**,Egypt,2019,?,10,,Fahd,APC,10,?,2019,New,For Burundi forces with African Union Mission in Somalia (AMISOM),0.25,2.5,2.5
Bangladesh,Egypt,1993,?,60,?,Fahd,APC,60,?,1993,New,Fahd-280 version,0.25,15,15
Bangladesh,Egypt,1975,?,30,,T-54,tank,30,,1975,Second hand,Second-hand; aid,0.44,13.2,13.2
Burundi,Egypt,1981,?,6,?,Walid,APC,6,?,1982,New,,0.16,0.96,0.96
Burkina Faso,Egypt,2022,?,2,?,Temsah-2,APC,2,?,2023,New,Buffalo E-10 version,0.27,0.54,0.54
Bosnia-Herzegovina,Egypt,1996,,12,,D-30 122mm,towed gun,12,,1996,Second hand,Second-hand; aid; D-30M version,0.14,1.68,1.68
Bosnia-Herzegovina,Egypt,1996,,12,,M-46 130mm,towed gun,12,,1996,Second hand,Second-hand; aid; Type-59-1M version,0.26,3.12,3.12
Bosnia-Herzegovina,Egypt,1997,?,10,,T-55,tank,10,,1997,Second hand,Second-hand,0.5,5,5
Bulgaria,East Germany (GDR),1963,,1,,Type-700,tug,1,,1964,New,Bulgarian designation Jupiter,13.4,13.4,13.4
Cameroon,Egypt,1982,?,10,?,M-46 130mm,towed gun,10,?,1983,Second hand,Second-hand,0.26,2.6,2.6
Central African Republic,Egypt,1979,?,4,?,BRDM-2,reconnaissance AV,4,?,1980,Second hand,Second-hand,0.06,0.24,0.24
DR Congo,Egypt,1985,,4,,Fahd,APC,4,,1988,New,,0.25,1,1
DR Congo,Egypt,1989,,16,?,Fahd,APC,16,?,1990,New,,0.25,4,4
Eritrea,Ethiopia,1996,?,1,,Project-205,FAC,1,,1997,Second hand,Second-hand; Project-205M (Osa-2) version,17,17,17
