Armenia,Jordan,2018,?,120,?,9M33,SAM,120,?,2019,Second hand,Second-hand; for Osa-AK (SA-8B) SAM systems,0.04,4.8,4.8
Armenia,Jordan,2018,?,4,,Osa,mobile SAM system,4,?,2019,Second hand,Second-hand; Osa-AK (SA-8B) version,4,16,16
Austria,Jordan,2020,,3,,S-70 Black Hawk,transport helicopter,3,?,2021,Second hand,Second-hand; EUR60 m deal,2.9,8.7,8.7
Austria,Jordan,1986,?,2,,SA-316B Alouette-3,light helicopter,2,,1986,Second hand,Second-hand; modernized in Portugal before delivery,0.36,0.72,0.72
Bahrain,Jordan,2019,?,20,?,Al-Jawad,APC,20,?,2019,New,,0.16,3.2,3.2
Benin,Jordan,2023,,3,,AS-532U2 Cougar,transport helicopter,3,,2023,Second hand,Second-hand; AS-332M1 version,2.9,8.7,8.7
Brazil,Japan,1953,?,4,,Barroso Pereira,transport ship,4,,1955; 1956; 1957,New,,38,152,152
Brazil,Jordan,2007,,3,,F-5E Tiger-2,FGA aircraft,3,?,2008,Second hand,Second-hand; F-5F version; 8 more delivered probably for spare parts only,4.2,12.6,12.6
China,Japan,1987,?,3,,Jinhou,tanker,3,?,1989; 1990,New,,15,45,45
Cambodia,Japan,1954,,7,,FD-25 Defender,ground attack aircraft,7,,1954,New,Incl 3 FD-25B trainer version,0.22,1.54,1.54
Dominican Republic,Japan,1985,?,1,?,MU-2,light transport aircraft,1,?,1985,New,No. could be 3; supplier uncertain; MU-2J version,1.7,1.7,1.7
Egypt,Jordan,2018,?,2,,Il-76MF,transport aircraft,2,,2019,Second hand,Second-hand,38,76,76
Gabon,Japan,1968,?,2,,YS-11A,transport aircraft,2,,1971,New,Incl for civilian use,7.58,15.16,15.16
Greece,Jordan,1983,,15,,F-5A Freedom Fighter,FGA aircraft,15,,1983,Second hand,Second-hand; incl 2 F-5B version,3.2,48,48
Greece,Jordan,1988,,19,?,F-5A Freedom Fighter,FGA aircraft,19,?,1989,Second hand,Second-hand; incl F-5B version,3.2,60.8,60.8
Greece,Jordan,1988,,10,,T-37B,trainer aircraft,10,,1988,Second hand,Second-hand,0.72,7.2,7.2
Guatemala,Jordan,1988,?,3,,S-76,helicopter,3,,1989,Second hand,Second-hand,1.2,3.6,3.6
India,Japan,1981,,7,,Jija Bai,patrol craft,7,,1983; 1984; 1985,New,Incl 3 produced in India; for coast guard,8.5,59.5,59.5
Indonesia,Japan,1960,?,1,,LST-1,landing ship,1,,1961,New,,23.62,23.62,23.62
Indonesia,Japan,1960,?,1,,Multatuli,support ship,1,,1961,New,,37.44,37.44,37.44
Indonesia,Japan,1958,?,1,,T-34 Mentor,trainer aircraft,1,,1959,New,,0.19,0.19,0.19
Iran,Japan,1978,?,5,,Iran Ajr,landing ship,5,,1980,New,Officially delivered for civil use but taken over by Navy,25,125,125
Iraq,Jordan,2004,,50,,BTR-94,IFV,50,,2004,New,Second-hand but only used for few years by Jordan; aid,0.8,40,40
Iraq,Jordan,2004,,100,,M-113,APC,100,?,2005,Second hand,Second-hand; aid; M-113A1 version,0.1,10,10
Iraq,Jordan,1985,?,2,,S-76,helicopter,2,?,1985,Second hand,Second-hand,1.2,2.4,2.4
Iraq,Jordan,2004,,100,,Spartan,APC,100,?,2004; 2005,Second hand,Second-hand; aid,0.1,10,10
Iraq,Jordan,2004,,16,,Bell-205/UH-1H,helicopter,16,,2005; 2007,Second hand,Second-hand; aid,1.05,16.77,16.77
Kenya,Jordan,2016,?,3,?,AH-1F Cobra,combat helicopter,3,?,2017,Second hand,Second-hand; aid,3,9,9
Kenya,Jordan,2007,?,15,,F-5E Tiger-2,FGA aircraft,15,?,2010; 2012,Second hand but modernized,Second-hand but modernized before delivery; incl 2 F-5F version; $38 m deal (incl $14.9 m for aircraft and $23 m for modernization by US company),6.93,103.95,103.95
South Korea,Japan,1965,?,2,?,KH-4,light helicopter,2,,1966,New,,0.5,1,1
Lebanon,Jordan,2014,,12,?,M-109A1 155mm,self-propelled gun,12,?,2015,Second hand,Second-hand; aid; M-109A2 version,0.44,5.28,5.28
Lebanon,Jordan,2014,?,30,,M-113,APC,30,,2015,Second hand,Second-hand; aid,0.1,3,3
Lebanon,Jordan,1983,,40,?,M-48A5 Patton,tank,40,?,1983,Second hand,Second-hand; aid,0.7,28,28
Lebanon,Jordan,2008,?,66,?,M-60A3 Patton-2,tank,66,?,2009; 2010,Second hand,Second-hand; probably paid by USA,0.84,55.44,55.44
Libya,Jordan,2009,,49,?,Nimr Armored,APV,49,?,2013,New,,0.18,8.82,8.82
Libya HoR*,Jordan,2019,?,5,?,Al-Mared,APC,5,?,2019,New,,0.32,1.6,1.6
Libya HoR*,Jordan,2018,?,5,?,Al-Wahsh,APC,5,?,2018,New,Possibly delivered via other state,0.2,1,1
Libya HoR*,Jordan,2019,,5,?,Mbombe,APC,5,?,2019,Second hand,Second-hand,0.16,0.8,0.8
Myanmar,Japan,1968,?,4,,Abamin,landing craft,4,?,1969,New,,4.8,19.2,19.2
Myanmar,Japan,1956,?,13,,Bell-47/OH-13,light helicopter,13,?,1958; 1959; 1960,New,'War Reparations Programme' (for WW-2) aid; Bell-47G-2 version,0.24,3.12,3.12
Myanmar,Japan,1975,?,2,,Sinde,landing craft,2,,1978,New,,4.4,8.8,8.8
New Zealand,Jordan,1986,?,100,?,AGM-65 Maverick,ASM,100,?,1986,Second hand,Second-hand; AGM-65B version for A-4K combat aircraft,0.06,6,6
Oman,Jordan,1975,,31,,Hunter,FGA aircraft,31,,1975,Second hand,Second-hand; aid; up to 6 more for spares only; Hunter F-6 and F-73 version; incl 2 T-66 trainer and 2 FR-10 reconnaissance version,1.6,49.6,49.6
Palestine,Jordan,2016,,6,,Al-Jawad,APC,6,?,2016,New,Paid by aid from USA,0.16,0.96,0.96
Palestine,Jordan,2022,,6,,Al-Jawad,APC,6,?,2023,New,Paid by aid from USA; Al-Jawad Mk-4 version,0.16,0.96,0.96
Palestine,Jordan,2019,,5,,Al-Jawad,APC,5,,2019,New,Paid by aid from EU,0.16,0.8,0.8
Palestine,Jordan,2022,,9,?,Al-Maha,APV,9,?,2023,New,Paid by aid from USA,0.12,1.08,1.08
Pakistan,Jordan,2013,?,8,,AH-1F Cobra,combat helicopter,8,,2013,Second hand,Second-hand,3,24,24
Pakistan,Jordan,1971,,10,,F-104A Starfighter,fighter aircraft,10,?,1971,Second hand,Second-hand; loan during 1971 India-Pakistan war (returned to Jordan 1972),3.6,36,36
Pakistan,Jordan,2013,?,13,,F-16(ADF),FGA aircraft,13,,2014,Second hand,Second-hand; incl 3 F-16B version; $75 m deal,8.8,114.4,114.4
Pakistan,Jordan,2015,,73,,M-113,APC,73,,2015,Second hand,Probably second-hand; designation uncertain (reported as 'APC'),0.1,7.3,7.3
Philippines,Japan,2020,,4,,J/FPS-3,air search radar,1,,2023,New,PHP5.5b ($104 m) 'Air Surveillance Radar System' programme; partly paid by aid from Japan,13,52,13
Philippines,Japan,1965,?,1,?,KH-4,light helicopter,1,?,1966,New,,0.5,0.5,0.5
Philippines,Japan,2016,,5,,King Air,light transport aircraft,5,,2017; 2018,Second hand,Second-hand; aid; King Air-90 (TC-90A) version,1.14,5.7,5.7
Philippines,Japan,1957,?,1,,Lapu-Lapu,OPV,1,,1959,New,'War Reparations Programme' (for WW-2) aid; used as presidential yacht and command ship,35,35,35
Philippines,Japan,1975,,3,,LCU-1466,landing craft,3,,1979,Second hand but modernized,Second-hand but modernized before delivery,3.7,11.09,11.09
Philippines,Japan,1958,,36,,T-34 Mentor,trainer aircraft,36,?,1958; 1959,New,$3 m 'War Reparations Programme' (for WW-2) aid,0.19,6.84,6.84
Philippines,Japan,1973,?,2,,Tirad Pass,patrol craft,2,,1974,New,'War Reparations Programme' (for WW-2) aid; for coast guard,14,28,28
