Algeria,Morocco,1962,?,6,?,AMX-13/75,light tank,6,?,1962,Second hand,Second-hand; aid; no. could be 4,0.36,2.16,2.16
Angola,Moldova,2000,?,10,?,An-12,transport aircraft,10,?,2001; 2002; 2005; 2007; 2008,Second hand,Second-hand,9.2,92,92
Angola,Moldova,2000,,2,,An-24,transport aircraft,2,,2000; 2006,Second hand,Second-hand,3,6,6
Angola,Moldova,1999,?,5,?,An-32,transport aircraft,5,,2001; 2002,Second hand,Second-hand,4.4,22,22
Angola,Moldova,2000,?,8,?,An-72A,transport aircraft,8,?,2001; 2002; 2003; 2007; 2008; 2009,Second hand,Second-hand,10,80,80
Armenia,Montenegro,2010,?,16,?,D-30 122mm,towed gun,16,,2010,Second hand,Second-hand,0.14,2.24,2.24
Bahrain,Malta,2004,,1,,BAe-146,transport aircraft,1,,2004,Second hand,Second-hand; $8.1 m deal; RJ-85 version; bought and delivered via UK,10,10,10
Bangladesh,Malaysia,1998,,1,,Bangla,patrol craft,1,,1999,New,For coast guard,10.9,10.9,10.9
Cabo Verde,Malawi,1999,,1,,Do-228,light transport aircraft,1,,2000,Second hand,Second-hand; for coast guard,0.88,0.88,0.88
Chile,Mexico,1991,?,1,,Veritas,tug,1,,1991,Second hand,Second-hand; Chilean designation Galvarino,8,8,8
Ecuador,Mexico,2018,?,1,?,AW119 Koala,light helicopter,1,,2019,Second hand,Second-hand,0.9,0.9,0.9
Egypt,Montenegro,2005,?,70,?,P-15M,anti-ship missile,70,?,2006; 2007,New,Second-hand; P-20 (SS-C-3) version for coast defence systems and for Project-205 (Osa-1) FAC,0.75,52.5,52.5
Egypt,Montenegro,2005,?,5,,Project-205,FAC,5,?,2007,Second hand,Second-hand,17,85,85
Egypt,Montenegro,2005,?,7,?,Rubezh/SS-C-3,coastal defence system,7,?,2006; 2007,Second hand,Second-hand,6,42,42
France,Mexico,1953,,2,,B-26 Invader,bomber aircraft,2,,1953,Second hand,Second-hand; for air force research unit,2,4,4
Guinea,Moldova,2000,?,3,,BM-22/9P140 Uragan,self-propelled MRL,3,,2000,Second hand,Second-hand,0.44,1.32,1.32
Guinea,Moldova,2000,?,60,,Konkurs,anti-tank missile,60,,2000,New,Second-hand,0.02,1.2,1.2
Haiti,Morocco,1969,?,9,,T-28D,trainer/combat aircraft,9,,1969,Second hand,Second-hand,0.7,6.3,6.3
Honduras,Morocco,1978,,8,?,T-28D,trainer/combat aircraft,8,,1978,Second hand,Second-hand; T-28S Fennec version,0.7,5.6,5.6
Indonesia,Malaysia,1970,?,12,,Twin Pioneer,light transport aircraft,12,,1971,Second hand,Second-hand; aid,0.56,6.72,6.72
Cote d'Ivoire,Malaysia,2019,,1,,AS365/AS565 Panther,helicopter,1,,2019,Second hand,Second-hand; AS-365N-2 version,1.3,1.3,1.3
Kenya,Montenegro,2016,?,1,,AK-630 30mm,naval gun,1,,2017,Second hand,Second-hand; for modernization of Jasiri OPV,0.4,0.4,0.4
Kenya,Montenegro,2016,?,1,,SAK-70 Mk-1 57mm,naval gun,1,,2017,Second hand,Second-hand; for modernization of Jasiri OPV,0.9,0.9,0.9
Mali,Moldova,2002,?,1,,An-26,transport aircraft,1,,2003,Second hand,Second-hand,3.4,3.4,3.4
Malta,Malaysia,1994,,1,,BN-2 Islander,light transport aircraft,1,,1995,Second hand,Second-hand,0.24,0.24,0.24
Namibia,Moldova,2001,,2,?,Mi-8T,transport helicopter,2,?,2001,Second hand,Second-hand; lease,2.4,4.8,4.8
Pakistan,Malta,2015,,1,,ATR-72,transport aircraft,1,,2015,Second hand,Second-hand; ATR-72-500 version,5.2,5.2,5.2
Romania,Moldova,1992,?,1,,MiG-29S,FGA aircraft,1,,1992,Second hand,Second-hand; payment for debt,11.4,11.4,11.4
Serbia,Montenegro,2010,?,16,?,-BOV 3.00,self-propelled AA gun,16,,2010,Second hand,Second-hand,0.14,2.24,2.24
