Algeria,Poland,2011,?,8,?,W-3 Sokol,helicopter,8,?,2014,New,W-3A version,3.7,29.6,29.6
Angola,Peru,2000,?,1,,An-72A,transport aircraft,1,,2001,Second hand,Second-hand,10,10,10
Angola,Peru,2002,,6,,EMB-312 Tucano,trainer aircraft,6,?,2004,Second hand,Second-hand; $1.6-4.8 m deal; delivery postponed while Peruvian court investigating claims that deal undervalues aircraft and by Angolan claim for $1.2 m damages for late delivery,0.9,5.4,5.4
Angola,Poland,1994,,52,,BMP-2,IFV,52,?,1994; 1995,Second hand,Second-hand,0.36,18.72,18.72
Angola,Portugal,1975,?,1,,Alfange,landing craft,1,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,6,6,6
Angola,Portugal,1974,?,5,?,AML,armoured car,5,?,1974,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.28,1.4,1.4
Angola,Portugal,1975,,5,,Argos,patrol craft,5,,1975; 1976,Second hand,Second-hand; 2 more for spares only,2.8,14,14
Angola,Portugal,1974,?,27,?,Auster AOP,light aircraft,27,?,1975,Second hand,Second-hand; AOP-9 version; left behind after Portugese withdrawal at independence,0.03,0.76,0.76
Angola,Portugal,1975,,6,,B-26 Invader,bomber aircraft,6,,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,2,12,12
Angola,Portugal,1974,?,2,?,Beech-18/C-45,light transport aircraft,2,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.16,0.32,0.32
Angola,Portugal,1974,?,3,,C-47 Skytrain,transport aircraft,3,,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,1,3,3
Angola,Portugal,1974,?,2,?,Do-27,light transport aircraft,2,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.05,0.1,0.1
Angola,Portugal,1974,?,6,?,Noratlas,transport aircraft,6,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,2.8,16.8,16.8
Angola,Portugal,1983,,2,,SA-316B Alouette-3,light helicopter,2,,1983,Second hand,Second-hand,0.36,0.72,0.72
Angola,Portugal,1974,?,12,?,SA-316B Alouette-3,light helicopter,12,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.36,4.32,4.32
Angola,Portugal,1992,?,4,,SA-316B Alouette-3,light helicopter,4,,1993,Second hand,Second-hand,0.36,1.44,1.44
Argentina,Peru,1982,,10,,Mirage-5,FGA aircraft,10,,1982,Second hand,Second-hand; on loan during 1982 Falklands War; then bought; Mirage-5P version,4.5,45,45
Argentina,Peru,1982,,120,?,Strela-2,portable SAM,120,?,1982,New,Second-hand; aid during Falklands War,0.04,4.8,4.8
Azerbaijan,Pakistan,2017,,10,,MFI-17 Supporter,trainer aircraft,10,?,2018,New,Super Mushshak version,0.24,2.4,2.4
Bahrain,Pakistan,2018,,6,,Interceptor,APV,6,,2019,New,,0.14,0.84,0.84
Bangladesh,Pakistan,1989,,40,?,F-6,fighter aircraft,40,?,1990,Second hand,Second-hand; aid; incl some FT-6 trainer version,2,80,80
Bangladesh,Pakistan,1971,,10,?,M-24 Chaffee,light tank,10,?,1971,Second hand,Second-hand,0.3,3,3
Bangladesh,Pakistan,2003,?,169,?,Red Arrow-8,anti-tank missile,169,,2004,New,Baktar Shikan (Green Arrow) version,0.01,1.69,1.69
Bangladesh,Pakistan,2003,,19,,T-37B,trainer aircraft,19,?,2004; 2005,Second hand,Second-hand; T-37C version,0.72,13.68,13.68
Belgium,Portugal,2014,,1,,A321,transport aircraft,1,,2014,Second hand,Second-hand; leased via French company; A-321-231 version,18,18,18
Belgium,Portugal,2009,,1,,A330,transport aircraft,1,,2009,Second hand,Second-hand; EUR48 m 4-year lease; leased via French company; A-330-300 version,46,46,46
Burkina Faso,Philippines,2006,?,1,,CN-235,transport aircraft,1,,2007,Second hand,Second-hand (modernized in Indonesia before delivery); CN-220M-220 version,4,4,4
Burkina Faso,Philippines,1986,?,6,,SF-260,trainer aircraft,6,,1986,Second hand,Second-hand; bought via Belgian company; SF-260W armed version,0.1,0.58,0.58
Burkina Faso,Poland,2010,,2,,Xenon,light aircraft,2,,2010,New,,0.06,0.12,0.12
Biafra,Portugal,1967,?,2,,Vampire T-55,trainer aircraft,2,,1967,Second hand,Second-hand,0.9,1.8,1.8
Bulgaria,Poland,1970,?,10,?,BLG-60,armoured bridgelayer,10,?,1971; 1972,New,BLG-67 version,0.9,9,9
Bulgaria,Poland,1987,?,1,,Project-130,support ship,1,,1988,New,Bulgarian designation Dobrev; also for use as training ship,20,20,20
