Afghanistan,Turkiye,2007,,24,,M-114 155mm,towed gun,24,,2007,Second hand,Second-hand; aid,0.2,4.8,4.8
Albania,Turkiye,2022,,3,?,Bayraktar TB2,armed UAV,0,,,New,Delivery planned 2024,2.4,7.2,0
Algeria,Turkiye,2022,,6,,Aksungur,armed UAV,0,,,New,,4,24,0
Algeria,Turkiye,2023,?,12,?,Anka,armed UAV,0,,,New,Anka-S+ version,3,36,0
Azerbaijan,Turkiye,2000,?,1,,AB-25,patrol craft,1,,2000,Second hand,Second-hand,3.4,3.4,3.4
Azerbaijan,Turkiye,2022,?,2,?,Akinci,armed UAV,2,?,2023,New,,4.5,9,9
Azerbaijan,Turkiye,2020,?,12,?,Bayraktar TB2,armed UAV,12,?,2020,New,,2.4,28.8,28.8
Azerbaijan,Turkiye,2010,,35,,Cobra,APV,35,?,2010; 2011,New,Part of $21 m or $30 m deal,0.15,5.25,5.25
Azerbaijan,Turkiye,2022,,12,?,Cobra-2,APC,12,?,2022,New,,0.25,3,3
Azerbaijan,Turkiye,2021,?,109,?,KGK-83,guided glide bomb,109,?,2022,New,,0.15,16.35,16.35
Azerbaijan,Turkiye,2017,?,10,?,SOM,ASM,10,?,2018; 2019,New,SOM-B1 version,1.1,11,11
Azerbaijan,Turkiye,2010,?,30,?,T-107 107mm,self-propelled MRL,30,?,2011; 2012; 2013,New,Part of $244 m deal,0.2,6,6
Azerbaijan,Turkiye,2010,,40,?,T-122/300,self-propelled MRL,40,?,2012; 2013; 2014,New,Part of $244 m deal,1.1,44,44
Azerbaijan,Turkiye,2015,,20,?,T-300,self-propelled MRL,20,?,2015; 2016,New,Part of $244 m deal,1.1,22,22
Azerbaijan,Turkiye,2015,,108,?,TRG-300,guided rocket,108,?,2016; 2017,New,For T-300 and or T-122/300 MRL,0.1,10.8,10.8
Azerbaijan,Turkiye,2010,,37,,ZPT,APV,37,?,2010; 2011,New,Part of $21 m or $30 m deal,0.11,4.07,4.07
Bahrain,Turkiye,2010,,60,?,ARMA,APC,60,?,2012,New,$63 m deal,0.27,16.2,16.2
Bahrain,Turkiye,2010,,13,,ARMA,APC,13,?,2011,New,$11 m deal,0.27,3.51,3.51
Bahrain,Turkiye,2018,?,216,?,CIRIT,ASM,216,?,2020,New,For AH-1F combat helicopters modernized to AH-1FB version,0.01,2.16,2.16
Bahrain,Turkiye,2004,,21,,Cobra,APV,21,,2005,New,Designation uncertain (reported as 'armoured combat vehicle'),0.15,3.15,3.15
Bahrain,Turkiye,2006,?,15,?,Cobra,APV,15,,2008,New,,0.15,2.25,2.25
Bahrain,Turkiye,2020,?,35,?,Cobra-2,APC,35,?,2022,New,,0.3,10.5,10.5
Bahrain,Turkiye,2011,?,397,?,ZPT,APV,397,?,2012; 2013; 2016; 2017; 2018; 2019; 2020,New,Could incl other armoured vehicles,0.11,43.67,43.67
Bangladesh,Turkiye,2022,?,12,,Bayraktar TB2,armed UAV,6,,2023,New,,2.4,28.8,14.4
Bangladesh,Turkiye,2023,,,,Boran 105mm,towed gun,0,,,New,,0,0,0
Bangladesh,Turkiye,2023,?,50,?,CIRIT,ASM,25,?,2023,New,For modification of Falco UAV,0.01,0.5,0.25
Bangladesh,Turkiye,2006,,22,?,Cobra,APV,22,?,2007; 2008,New,,0.15,3.3,3.3
Bangladesh,Turkiye,2012,?,22,,Cobra,APV,22,,2013,New,,0.15,3.3,3.3
Bangladesh,Turkiye,2017,,300,?,Cobra-2,APC,202,?,2017; 2018; 2021; 2022; 2023,New,,0.25,75,50.5
Bangladesh,Turkiye,2019,,18,,T-300,self-propelled MRL,18,?,2021; 2022; 2023,New,$60 m deal,1.1,19.8,19.8
Bangladesh,Turkiye,2021,,100,?,Teber,guided bomb,100,?,2021; 2022,New,For F-7BG combat aircraft,0.02,2,2
Bangladesh,Turkiye,2020,?,500,?,TRG-230,guided rocket/ASM,500,?,2022; 2023,New,For T-300 MRL,0.06,30,30
Bangladesh,Turkiye,2019,,200,?,TRG-300,guided rocket,200,?,2021; 2023,New,For T-300 MRL,0.1,20,20
Burkina Faso,Taiwan,2017,,2,,Bell-205/UH-1H,helicopter,2,,2017,Second hand,Second-hand; $8 m aid,1.05,2.1,2.1
Burkina Faso,Turkiye,2021,,5,?,Bayraktar TB2,armed UAV,5,?,2022; 2023,New,,2.4,12,12
Burkina Faso,Turkiye,2018,?,40,?,Cobra,APV,40,,2018,New,$28.9 m deal,0.15,6,6
