Bolivia,Venezuela,2006,,2,,AS-532 Cougar,transport helicopter,2,,2006,Second hand,Second-hand; loan or aid; AS-532AC version,2.9,5.8,5.8
Bolivia,Venezuela,2008,,1,?,AS-532 Cougar,transport helicopter,1,,2008,Second hand,Second-hand; loan (until 2012); AS-332B1 version,2.9,2.9,2.9
Bolivia,Venezuela,1973,?,9,,F-86 Sabre,fighter aircraft,9,,1975,Second hand,Second-hand; possibly aid,1.4,12.6,12.6
Bolivia,Venezuela,2006,,2,,SA-316B Alouette-3,light helicopter,2,,2006,Second hand,Second-hand; aid,0.36,0.72,0.72
Bolivia,Venezuela,2004,,8,,T-34 Mentor,trainer aircraft,8,,2004,Second hand,Second-hand (2-3 more delivered for spare parts); aid; VT-34A version,0.08,0.61,0.61
Cambodia,Viet Nam,2005,?,2,,Project-206P,patrol craft,2,,2006,Second hand,Second-hand; aid,6.8,13.6,13.6
Ecuador,Venezuela,2009,,6,,Mirage-50,FGA aircraft,6,,2009,Second hand,Second-hand (4 more for spare parts); aid,6.4,38.4,38.4
Ecuador,Venezuela,2009,,40,?,R-550 Magic-2,SRAAM,40,?,2009,Second hand,Second-hand; aid; for Mirage-50 combat aircraft,0.04,1.76,1.76
Guatemala,Venezuela,2008,,1,,Cessna-208 Caravan,light transport aircraft,1,,2008,Second hand,Second-hand,0.4,0.4,0.4
Honduras,Venezuela,1969,?,4,?,F-86D Sabre,fighter aircraft,4,?,1969,New,Second-hand but stored after delivery to Venezuela and not used operationally by Venezuela; F-86K version,4.25,17,17
Laos,Viet Nam,1987,?,30,?,T-34-85,tank,30,?,1987,Second hand,Second-hand; aid,0.38,11.4,11.4
Myanmar,Viet Nam,2018,,2,,ATR-72,transport aircraft,2,,2018,Second hand,Second-hand; ATR-72-212A version,5.2,10.4,10.4
Suriname,Venezuela,1986,,1,,Bell-206/OH-58,light helicopter,1,,1987,Second hand,Second-hand; Bell-206A version,0.28,0.28,0.28
Viet Cong (South Vietnam)*,Viet Nam,1972,?,1,,Type-63 37mm,self-propelled AA gun,1,,1972,Second hand,Second-hand,0.28,0.28,0.28
