Recipient,Supplier,Year of order, ,Number ordered, .1,Weapon designation,Weapon description,Number delivered, .2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
South Korea,Brazil,2023.0,?,3.0,?,C-390 Millennium,transport aircraft,0.0,,,New,KRW710 b ($542 m) 'Large Transport Aircraft II' programme; incl production of components in South Korea; selected 2023 but not yet ordered by end-2023,54.0,162.0,0.0
South Korea,Canada,1995.0,?,105.0,?,aircraft engine,aircraft engine,105.0,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007,New,Pratt & Whitney Canada PT-6A-62A (950hp) turboprop; for 85 KT-1 trainer and 20 KO-1 combat/reconnaissance aircraft produced in South Korea,0.35,36.75,36.75
South Korea,Canada,2023.0,,4.0,,Global Express,transport aircraft,0.0,,,New,Global-6500 version; for modification to AEW&C aircraft in USA and Israel,25.0,100.0,0.0
South Korea,France,2016.0,,4.0,,A-330 MRTT,tanker/transport aircraft,4.0,,2019,New,'KC-X' programme; delivered via Spain,98.0,392.0,392.0
South Korea,France,2002.0,?,5.0,?,AS365/AS565 Panther,helicopter,5.0,,2003; 2005; 2006,New,,3.25,16.25,16.25
South Korea,France,1993.0,?,2.0,,CAP-10B,trainer aircraft,2.0,,1994,New,,0.14,0.28,0.28
South Korea,France,1997.0,?,1.0,,CAP-10B,trainer aircraft,1.0,,1998,New,,0.14,0.14,0.14
South Korea,France,1997.0,?,48.0,?,Crotale-NG,SAM system,48.0,?,1999; 2000; 2001; 2002; 2003; 2004; 2005,New,FFR1.5 b deal; for Chun Ma (Pegasus) SAM system produced in South Korea (with South Korean missiles and chassis); assembled in South Korea,10.0,480.0,480.0
South Korea,France,2003.0,,66.0,,Crotale-NG,SAM system,66.0,?,2006; 2007; 2008; 2009,New,EUR470 m deal; produced under licence in South Korea; for Chun Ma (Pegasus) SAM system produced in South Korea (with South Korean missiles and chassis),10.0,660.0,660.0
South Korea,France,2015.0,,210.0,?,EC155,helicopter,0.0,,,New,Produced under licence in South Korea; LCH-LAH version; delivery planned from 2024,0.0,0.0,0.0
South Korea,France,1997.0,,5.0,,F-406 Caravan-2,light transport aircraft,5.0,?,1998; 1999,New,$24 m deal; for use as target tugs,2.4,12.0,12.0
South Korea,France,2021.0,,4.0,,Falcon-2000,transport aircraft,0.0,,,New,Part of KRW800 b ($675 m) 'Baekdu' programme; Falcon-2000XLS version; for modification to SIGINT aircraft in South Korea; delivery planned by 2026,17.25,69.0,0.0
South Korea,France,2011.0,?,2.0,,Falcon-2000,transport aircraft,2.0,?,2017,New,Falcon-2000S version for modification in South Korea to SIGINT aircraft,17.25,34.5,34.5
South Korea,France,2013.0,,8.0,,FLASH,ASW sonar,8.0,?,2016,New,For 8 AW-159 helicopters from UK,2.0,16.0,16.0
South Korea,France,1992.0,,984.0,,Mistral,portable SAM,984.0,?,1993; 1994; 1995; 1996; 1997,New,$180 m deal (offsets 25%; deal also incl 130 launchers),0.09,88.56,88.56
South Korea,France,1997.0,?,1742.0,?,Mistral,portable SAM,1742.0,?,1998; 1999; 2000,New,$300 m deal,0.09,156.78,156.78
South Korea,France,2023.0,,,,Mistral,portable SAM,0.0,,,New,Mistral ATAM version; for Korean Marine Attack Helicopter (KMAH),0.09,0.0,0.0
South Korea,France,1995.0,?,4.0,?,ship engine,ship engine,4.0,,1997,New,SEMT-Pielstick 12PA6 (4300hp) diesel engine; for 1 Won San minelayer produced in South Korea; produced under licence in South Korea,1.5,6.0,6.0
South Korea,France,2015.0,?,4.0,,ship engine,ship engine,4.0,,2021,New,16PC2.5 (8000hp) diesel engine; for 1 Dokdo AALS produced in South Korea,2.5,10.0,10.0
South Korea,France,2002.0,?,4.0,,ship engine,ship engine,4.0,,2007,New,16PC2.5 STC (10400hp) diesel engine; for 1 Dokdo (LPX) AALS produced in South Korea; produced under licence in South Korea,3.0,12.0,12.0
South Korea,France,2005.0,?,3.0,,Vampyr,air search system,3.0,,2008; 2010; 2012,New,Vampyr-MB version; for 3 Sejong the Great (KDX-3) destroyers produced in South Korea,2.0,6.0,6.0
South Korea,France,2003.0,?,1.0,,Vampyr,air search system,1.0,,2007,New,For 1 Dodko (LPX) AALS produced in South Korea,2.0,2.0,2.0
South Korea,Germany,2010.0,?,88.0,?,AIM-9L/I Sidewinder,SRAAM,88.0,?,2012,New,AIM-9L/I-1 version,0.12,10.56,10.56
South Korea,Germany,1997.0,,12.0,,Bo-105,light helicopter,12.0,,1999; 2000,New,'LRH' programme; Bo-105CBS-5 armed version; incl 10 assembled from kits in South Korea,1.2,14.4,14.4
South Korea,Germany,2023.0,,8.0,?,BR710,turbofan,0.0,,,New,For 4 Global-6500 AEW&C aircraft based on transport aircraft from Canada,2.5,20.0,0.0
South Korea,Germany,1993.0,?,3.0,,DSQS-21,ASW sonar,3.0,,1998; 1999; 2000,New,For 3 KDX-1 (Kwanggaeto the Great) frigates produced in South Korea; DSQS-21BZ version,5.0,15.0,15.0
South Korea,Germany,1999.0,?,3.0,,DSQS-23,ASW sonar,3.0,,2003; 2004; 2005,New,For 3 KDX-2 frigates produced in South Korea,5.0,15.0,15.0
South Korea,Germany,2020.0,?,,,IRIS-T,BVRAAM,0.0,,,New,For KF-21 (KF-X) combat aircraft; selected but not yet ordered by end-2023,0.2,0.0,0.0
South Korea,Germany,2007.0,?,400.0,?,MIM-104A Patriot,SAM,400.0,?,2008; 2009; 2010; 2011; 2012,Second hand,Second-hand,0.3,120.0,120.0
South Korea,Germany,2007.0,?,8.0,?,Patriot,SAM system,8.0,?,2008; 2009,Second hand,Second-hand; $370-494 m deal (part of $1-1.2 b 'SAM-X' programme),18.8,150.4,150.4
South Korea,Germany,1993.0,?,6.0,,ship engine,ship engine,6.0,,1998; 1999; 2000,New,MTU-20V-956 TB-92 (4000hp) diesel engine; for 3 KD-1 (Kwanggaeto the Great or KDX-1) frigates produced in South Korea; produced under licence in South Korea,1.2,7.2,7.2
South Korea,Germany,1999.0,?,6.0,,ship engine,ship engine,6.0,,2003; 2004; 2005,New,MTU-20V-956 TB-92 (4000hp) diesel engine; for 3 KDX-2 frigates produced in South Korea,1.2,7.2,7.2
South Korea,Germany,2012.0,?,2.0,,ship engine,ship engine,2.0,,2018,New,MTU 12V4000 diesel engine for 1 FFX-2 (Daegu) frigate produced in South Korea,1.2,2.4,2.4
South Korea,Germany,2017.0,?,14.0,,ship engine,ship engine,12.0,?,2021; 2023,New,MTU 12V4000 diesel engine for 7 Daegu (FFX-2) frigates produced in South Korea,1.2,16.8,14.4
South Korea,Germany,2011.0,,3.0,,ship engine,ship engine,3.0,,2017; 2018; 2021,New,Siemesn Permasyn 4200hp electric engine; for 3 Type-209/1400 (Nagapasa) submarines from South Korea,1.5,4.5,4.5
South Korea,Germany,2005.0,?,36.0,?,ship engine,ship engine,36.0,,2008; 2011; 2012; 2013; 2014; 2018,New,MTU 16V1163 (7840hp) diesel engine for 18 Gumdoksuri (PKX-A or PKG-A) FAC produced in South Korea,2.5,90.0,90.0
South Korea,Germany,2012.0,?,16.0,,ship engine,ship engine,16.0,,2014; 2017; 2018,New,MAN-12V28/33D (7300-8000hp) diesel engine; for 4 Cheon Wang Bong (LST-2) landing ships produced in South Korea,2.5,40.0,40.0
South Korea,Germany,2013.0,?,4.0,,ship engine,ship engine,4.0,,2016,New,MTU 16V1163 (9700hp) diesel engine for 1 Nampo minelayer produced in South Korea,3.0,12.0,12.0
South Korea,Germany,2013.0,,177.0,,Taurus KEPD-350,ASM,177.0,?,2016; 2017,New,For F-15K combat aircraft; chosen after USA refused AGM-158; KEPD-350K version,0.7,123.9,123.9
South Korea,Germany,2018.0,,90.0,,Taurus KEPD-350,ASM,90.0,,2019; 2020,New,For F-15K combat aircraft; KEPD-350K version,0.7,63.0,63.0
South Korea,Germany,1994.0,,3.0,,Type-209/1200,submarine,3.0,,1999; 2000; 2001,New,$510 m deal; produced under licence in South Korea; South Korean designation Chang Bogo,110.0,330.0,330.0
South Korea,Germany,2000.0,,3.0,,Type-214,submarine,3.0,,2007; 2008; 2009,New,$1.1 b 'KSS-2' programme (incl $711 m components from FRG); produced under licence in South Korea,275.0,825.0,825.0
South Korea,Germany,2008.0,,6.0,,Type-214,submarine,6.0,,2014; 2016; 2017; 2018; 2019; 2020,New,'KSS-2' programme; produced under licence in South Korea,275.0,1650.0,1650.0
South Korea,Germany,2012.0,,100.0,?,vehicle engine,vehicle engine,100.0,?,2014; 2015,New,MT-883 (1500hp) diesel engine; for 100 K-2 tanks produced in South Korea; possibly produced under licence in South Korea,0.3,30.0,30.0
South Korea,Germany,2002.0,?,176.0,?,vehicle engine,vehicle engine,176.0,?,2004; 2005; 2006; 2007; 2008; 2009; 2010,New,MAN D-2840L (520hp) diesel engine for 176 K-30 SPAAG produced in South Korea; produced under licence in South Korea,0.08,14.08,14.08
South Korea,Germany,1995.0,?,176.0,?,vehicle engine,vehicle engine,176.0,?,1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2013; 2014,New,D-2848L (520hp) diesel engine; for 176 K30 SPAAG produced in South Korea; produced under licence in South Korea,0.08,14.08,14.08
South Korea,Germany,1998.0,?,1306.0,?,vehicle engine,vehicle engine,1306.0,?,1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020,New,MT-881 Ka-500 (1000hp) diesel version; for K-9 self-propelled guns and K-10 ALV produced in South Korea,0.16,208.96,208.96
South Korea,Indonesia,1997.0,,8.0,,CN-235,transport aircraft,8.0,,2001; 2002,New,$120-143 m deal (offsets incl Indonesian order for KT-1 trainer aircraft and other military equipment from South Korea); CN-235-220 version; incl 2 for VIP transport,9.0,72.0,72.0
South Korea,Israel,2009.0,,2.0,,EL/M-2080 Green Pine,air search radar,2.0,,2012,New,For use with Patriot SAM systems in AMD-Cell air defence/ABM system,17.5,35.0,35.0
