Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AFG,Czechoslovakia,1977,?,26,,L-39C Albatros,trainer aircraft,26,?,1977; 1978,New,,3.5,91,91
AFG,Soviet Union,1988,?,40,?,2S9 120mm,self-propelled gun,40,?,1988,Second hand,Second-hand; aid; handed over by Soviet forces withdrawing from Afghanistan,0.3,12,12
AFG,Soviet Union,1986,?,400,?,9M37,SAM,400,?,1987; 1988,New,,0.06,24,24
AFG,Soviet Union,1988,?,13,?,9P113,SSM launcher,13,?,1988,Second hand,Second-hand,0.2,2.6,2.6
AFG,Soviet Union,1988,?,30,?,9P117 Uragan,SSM launcher,30,?,1988; 1989; 1990,New,Possibly second-hand; mainly for use against Mujahideen rebel forces; operated by Soviet crews 1988-1992,1,30,30
AFG,Soviet Union,1977,?,26,,AI-25,turbofan,26,?,1977; 1978,New,For 26 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version produced in Czechoslovakia,0.6,15.6,15.6
AFG,Soviet Union,1989,?,12,,An-12,transport aircraft,12,,1989,Second hand,Second-hand,9.2,110.4,110.4
AFG,Soviet Union,1956,?,8,?,An-2,light transport aircraft,8,?,1957,New,,1,8,8
AFG,Soviet Union,1976,?,36,?,An-26,transport aircraft,36,?,1977; 1978; 1979; 1980; 1981; 1982,New,Possibly some second-hand,8.5,306,306
AFG,Soviet Union,1987,?,3,,An-26,transport aircraft,3,?,1987,New,,8.5,25.5,25.5
AFG,Soviet Union,1984,?,1,?,An-30,reconnaissance aircraft,1,,1985,Second hand,Second-hand,3,3,3
AFG,Soviet Union,1986,?,73,,An-32,transport aircraft,73,?,1987; 1988; 1989; 1990; 1991,New,An-32A version,11,803,803
AFG,Soviet Union,1960,?,50,?,BM-13 132mm,self-propelled MRL,50,?,1960; 1961,Second hand,Second-hand,0.08,4,4
AFG,Soviet Union,1979,?,142,?,BM-21 Grad 122mm,self-propelled MRL,142,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,,0.6,85.2,85.2
