Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AFG,Belarus,2018,,4,,Mi-24V/Mi-35,combat helicopter,4,,2019,Second hand,Second-hand; financed by India,3.4,13.6,13.6
AFG,Bosnia-Herzegovina,2009,,60,,D-30 122mm,towed gun,60,?,2011,Second hand but modernized,Second-hand but modernized before delivery,0.23,13.86,13.86
AFG,Bosnia-Herzegovina,2012,?,20,?,D-30 122mm,towed gun,20,,2013,Second hand,Second-hand,0.14,2.8,2.8
AFG,Brazil,2013,,20,,EMB-314 Super Tucano,trainer/combat aircraft,20,?,2016,New,$427 m 'LAS' deal (financed by USA); A-29B version; ordered via USA from US production line,4.5,90,90
AFG,Brazil,2017,,6,,EMB-314 Super Tucano,trainer/combat aircraft,6,?,2018,New,A-29B version; financed by USA; ordered via USA from US production line,4.5,27,27
AFG,Canada,2013,,20,?,aircraft engine,aircraft engine,20,?,2016,New,Pratt & Whitney Canada PT-6A-68 (1250hp) turboprop; for 20 EMB-314 trainer/combat aircraft from Brazil,0.5,10,10
AFG,Canada,2017,,6,?,aircraft engine,aircraft engine,6,?,2018,New,Pratt & Whitney Canada PT-6A-68 (1250hp) turboprop; for 6 EMB-314 trainer/combat aircraft from Brazil,0.5,3,3
AFG,China,2017,?,10,?,Tiger,APV,10,,2017,New,,0.14,1.4,1.4
AFG,Czechia,2007,,6,,Mi-17,transport helicopter,6,,2007; 2008,Second hand but modernized,Second-hand but modernized before delivery; aid (aircraft donated by Czech Republic and modernization funded by NATO),4.79,28.71,28.71
AFG,Czechia,2007,,6,,Mi-24V/Mi-35,combat helicopter,6,,2008; 2009,Second hand but modernized,Second-hand but modernized before delivery; aid (aircraft donated by Czech Republic and modernization funded by NATO),5.61,33.66,33.66
AFG,India,2015,,4,,Mi-24D/Mi-25,combat helicopter,4,,2015; 2016,Second hand,Second-hand; aid; Mi-25 version,3.3,13.2,13.2
AFG,India,2012,?,3,,SA-315B Lama,light helicopter,3,,2015,New,Cheetal version,0.75,2.25,2.25
AFG,Italy,2008,,16,,G-222,transport aircraft,16,?,2009; 2010; 2011; 2012,Second hand but modernized,Second-hand but modernized before delivery; $287 m deal (bought via and financed by USA),9.9,158.4,158.4
AFG,Norway,2008,,159,?,BGM-71 TOW,anti-tank missile,159,?,2009,Second hand,Second-hand; aid; TOW-2 version,0,0.64,0.64
