Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
ALG,China,1989,,7,,Chui-E,patrol craft,7,,1990; 1991,New,Algerian designation El Mouderrib; for Coast Guard,16,112,112
ALG,China,1988,?,1,,Mourafek,support ship,1,,1990,New,For coast guard,12.5,12.5,12.5
ALG,China,1983,?,3,,Type-363,air search radar,3,,1988; 1995; 2002,New,For 3 Djebel Chenoua FAC produced in Algeria,4.75,14.25,14.25
ALG,Czechoslovakia,1987,,32,,L-39Z Albatros,trainer/combat aircraft,32,?,1987; 1988; 1991,New,L-39ZA version,4,128,128
ALG,Czechoslovakia,1986,?,46,?,Z-142/Z-242L,trainer aircraft,46,?,1987; 1988; 1989; 1990; 1991,New,Z-142 version; Algerian designation Firnas-142; 29 assembled from kits in Algeria,0.1,4.6,4.6
ALG,Czechoslovakia,1991,?,5,?,Z-43,light aircraft,5,,1991,New,Algerian designation Safir-43; assembled from kits in Algeria,0.1,0.5,0.5
ALG,Egypt,1962,?,12,,Bu-181 Bestmann,trainer aircraft,12,,1963,New,Gomhouria version,0.14,1.68,1.68
ALG,Egypt,1992,,200,?,Fahd,APC,200,?,1992; 1993; 1994; 1995,New,For police,0.25,50,50
ALG,Egypt,1962,?,5,,MiG-15,fighter aircraft,5,,1963,Second hand,Second-hand; aid,1.28,6.4,6.4
ALG,Egypt,1978,?,20,?,Walid,APC,20,?,1978,New,,0.16,3.2,3.2
ALG,Egypt,1964,,12,?,Yak-11,trainer aircraft,12,?,1964,Second hand,Second-hand (but possibly modernized in Czechoslovakia before delivery),0.12,1.44,1.44
ALG,Egypt,1962,?,2,,YMS,minesweeper,2,,1962,Second hand,Second-hand; aid,3.6,7.2,7.2
ALG,France,1964,?,54,?,AML,armoured car,54,?,1965,New,AML-60 version,0.7,37.8,37.8
ALG,France,1962,?,44,?,AMX-13/75,light tank,44,?,1962,Second hand,Probably Second-hand,0.36,15.84,15.84
ALG,France,1969,,28,,CM-170 Magister,trainer aircraft,28,?,1970; 1971,New,Second-hand aircraft (from other users) sold back to French producer; rebuilt to CM-170-2 version and sold to Algeria; incl for combat role,1,28,28
ALG,France,1982,,55,,M-3 VTT,APC,55,?,1983; 1984,New,For presidential guard; incl 5 CP; 2 AEV; 2 ARV and 2 ambulance version,0.16,8.8,8.8
ALG,France,1964,?,2,,SA-313B Alouette-2,light helicopter,2,,1964,New,,0.7,1.4,1.4
ALG,Germany,1983,?,9,,ship engine,ship engine,9,,1988; 1995; 2002,New,MTU 20V-538 (4260hp) diesel engine for 3 Djebel Chenoua FAC produced in Algeria,1.5,13.5,13.5
ALG,Italy,1981,?,2,,Compact 76mm,naval gun,2,,1982; 1983,New,For 2 Kebir (El Yadekh) patrol craft from UK,2.5,5,5
ALG,Italy,1976,?,6,,Mangusta,patrol craft,6,?,1977,New,Algerian designation El Ayouk,5.5,33,33
ALG,Morocco,1962,?,6,?,AMX-13/75,light tank,6,?,1962,Second hand,Second-hand; aid; no. could be 4,0.36,2.16,2.16
ALG,Netherlands,1974,,6,?,F-27 Friendship,transport aircraft,6,?,1976,New,F-27 Mk-400 version,8.5,51,51
ALG,Netherlands,1976,,5,?,F-27 Friendship,transport aircraft,5,?,1977; 1978; 1979,New,F-27 Mk-600 version,7,35,35
ALG,Romania,1983,?,6,,SA-316B Alouette-3,light helicopter,6,,1984,New,IAR-316B version,0.9,5.4,5.4
ALG,Russia,1992,?,2,,AK-630 30mm,naval gun,2,,1995; 2002,New,For 2 Djebel Chenoua FAC produced in Algeria,1,2,2
ALG,United Kingdom,1976,,10,?,aircraft engine,aircraft engine,10,?,1977; 1978; 1979,New,Rolls-Royce Dart turboprop for 5 F-27 transport aircraft from Netherlands,0.75,7.5,7.5
ALG,United Kingdom,1974,,12,?,aircraft engine,aircraft engine,12,?,1976,New,Rolls-Royce Dart turboprop for 6 F-27 transport aircraft from Netherlands,0.75,9,9
ALG,United Kingdom,1981,,6,,Kebir,patrol craft,6,?,1982; 1983; 1984; 1985,New,In 4 assembled/produced in Algeria; Algerian designation El Yadekh,9.3,55.8,55.8
ALG,United Kingdom,1986,,3,,Kebir,patrol craft,3,?,1991; 1992; 1993,New,Assembled/produced in Algeria; Algerian designation El Yadekh,9.3,27.9,27.9
ALG,United Kingdom,1990,?,6,?,Kebir,patrol craft,6,?,1997; 1998; 2001; 2003; 2005; 2006,New,Assembled/produced in Algeria; Algerian designation El Yadekh; more planned but cancelled,9.3,55.8,55.8
ALG,United Kingdom,1981,,2,,LSL,landing ship,2,,1984,New,$124 m deal; original 1981 order for 1 increased to 2 in 1982,31.5,63,63
ALG,United States,1962,,2,,Beech-18/C-45,light transport aircraft,2,,1963,New,For VIP transport,0.4,0.8,0.8
ALG,United States,1981,,10,,C-130H Hercules,transport aircraft,10,?,1981; 1982; 1983; 1984,New,,28,280,280
ALG,United States,1982,,2,?,C-130H Hercules,transport aircraft,2,,1983,New,C-130H-30 version,28,56,56
ALG,United States,1983,?,5,,C-130H Hercules,transport aircraft,5,?,1983; 1984,New,L-100-30 version; possibly officially delivered to civilian airline but used by Algerian air force,28,140,140
ALG,United States,1981,,2,?,C-130H Hercules,transport aircraft,2,?,1981,New,L-100-30 version; possibly officially delivered to civilian airline but used by Algerian air force; no. could be 3,28,56,56
ALG,United States,1989,?,1,,C-130H Hercules,transport aircraft,1,,1990,New,C-130H-30 version,28,28,28
ALG,United States,1978,?,5,,King Air,light transport aircraft,5,?,1978,New,,2.85,14.25,14.25
ALG,United States,1984,,2,,King Air Maritime,maritime patrol aircraft,2,?,1985,New,,7.5,15,15
ALG,United States,1963,?,7,,Model-300,light helicopter,7,,1963,New,For training; officially exported to Switzerland but delivered to Algeria,0.2,1.4,1.4
ALG,United States,1976,?,7,?,Musketeer,light aircraft,7,?,1977; 1978; 1979,New,Sierra version; no. could be 12,0.08,0.56,0.56
ALG,United States,1978,?,6,,T-34C Turbo Mentor,trainer aircraft,6,,1978,New,Offically delivered for civilian use but used by air force,1.35,8.1,8.1
ALG,United States,1977,,3,,TPS-43,air search radar,3,,1984,New,,9,27,27
ALG,Soviet Union,1983,?,65,?,2S1 122mm,self-propelled gun,65,?,1983; 1984,New,,0.9,58.5,58.5
ALG,Soviet Union,1989,?,80,?,2S1 122mm,self-propelled gun,80,?,1990; 1991,New,,0.9,72,72
ALG,Soviet Union,1989,?,25,?,2S3 152mm,self-propelled gun,25,?,1991,New,,1,25,25
ALG,Soviet Union,1982,?,600,?,3M9,SAM,600,?,1982; 1983; 1984; 1985; 1986,New,,0.12,72,72
ALG,Soviet Union,1985,?,40,?,53-65,anti-ship torpedo,40,?,1987; 1988,New,For 2 Project-877 (Kilo or Mubarek) submarines,1.1,44,44
ALG,Soviet Union,1978,?,40,?,9K31,mobile SAM system,40,?,1979; 1980,New,,1,40,40
ALG,Soviet Union,1978,?,600,?,9M33,SAM,600,?,1980; 1981,New,,0.1,60,60
ALG,Soviet Union,1979,?,90,?,9M33,SAM,90,?,1980; 1981; 1982,New,Osa-M (SA-N-4) version; for Nanuchka-2 corvettes,0.1,9,9
ALG,Soviet Union,1977,?,60,?,9M33,SAM,60,?,1980; 1982,New,Osa-M (SA-N-4) version; for Koni (Mourad Rais) frigates,0.1,6,6
ALG,Soviet Union,1982,?,30,?,9M33,SAM,30,?,1985,New,Osa-M (SA-N-4) version; for Koni (Mourad Rais) frigate,0.1,3,3
ALG,Soviet Union,1975,,18,?,9P113,SSM launcher,18,?,1976; 1977,New,No. could be up to 24,0.5,9,9
ALG,Soviet Union,1961,?,100,?,A-19 122mm,towed gun,100,?,1961; 1962; 1963,Second hand,Second-hand; incl some based in Morocco before independence,0.16,16,16
ALG,Soviet Union,1987,,32,,AI-25,turbofan,32,?,1987; 1988; 1991,New,For 32 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version from Czechoslovak production line,0.6,19.2,19.2
ALG,Soviet Union,1983,?,1,,AK-630 30mm,naval gun,1,,1988,New,For 1 Djebel Chenoua FAC produced in Algeria,1,1,1
ALG,Soviet Union,1964,?,8,,An-12,transport aircraft,8,?,1964; 1965,New,An-12B version,23,184,184
ALG,Soviet Union,1962,?,48,?,BM-14 140mm,self-propelled MRL,48,?,1963; 1964,Second hand,Second-hand,0.1,4.8,4.8
ALG,Soviet Union,1976,?,48,?,BM-21 Grad 122mm,self-propelled MRL,48,?,1977; 1978,New,,0.6,28.8,28.8
ALG,Soviet Union,1965,?,30,?,BM-24 240mm,self-propelled MRL,30,?,1966; 1967,Second hand,Probably second-hand,0.18,5.4,5.4
ALG,Soviet Union,1978,?,800,?,BMP-1,IFV,800,?,1979; 1980; 1981; 1982; 1983; 1984,New,,0.9,720,720
ALG,Soviet Union,1989,?,225,?,BMP-2,IFV,225,?,1990; 1991,New,,0.9,202.5,202.5
ALG,Soviet Union,1979,?,100,?,BRDM-2,reconnaissance AV,100,?,1981; 1982,New,,0.15,15,15
ALG,Soviet Union,1980,?,20,?,BRDM-2,tank destroyer,20,?,1981; 1982,New,9P148 version with 9M14 (AT-5) missiles,0.8,16,16
ALG,Soviet Union,1963,,350,?,BTR-152,APC,350,?,1964; 1965; 1966,Second hand,Second-hand,0.05,18.2,18.2
ALG,Soviet Union,1965,?,100,?,BTR-40,APC,100,?,1966; 1967,Second hand,Second-hand,0.05,4.8,4.8
ALG,Soviet Union,1977,?,130,?,BTR-50,APC,130,?,1978; 1979,Second hand,Second-hand,0.1,13,13
ALG,Soviet Union,1979,?,10,?,BTR-60P,APC,10,?,1979; 1980,New,BTR-60PU-12 command post version for use with 10 SA-9/9K31 SAM systems,0.2,2,2
ALG,Soviet Union,1977,?,400,?,BTR-60PB,APC,400,?,1978; 1979; 1980; 1981,New,Possibly second-hand,0.25,100,100
ALG,Soviet Union,1982,?,200,?,D-30 122mm,towed gun,200,?,1982; 1983; 1984; 1985,New,,0.35,70,70
ALG,Soviet Union,1978,?,30,?,D-74 122mm,towed gun,30,?,1979,Second hand,Probably second-hand,0.16,4.8,4.8
ALG,Soviet Union,1980,?,200,?,Fagot,anti-tank missile,200,?,1981; 1982,New,,0.01,2,2
ALG,Soviet Union,1989,?,2250,?,Fagot,anti-tank missile,2250,?,1990; 1991,New,For BMP-2 IFV,0.01,22.5,22.5
ALG,Soviet Union,1969,?,3,?,Luna/FROG,SSM launcher,3,?,1970,Second hand,Second-hand,0.16,0.48,0.48
ALG,Soviet Union,1962,?,6,,Il-14,transport aircraft,6,,1962,Second hand,Probably second-hand,1.6,9.6,9.6
ALG,Soviet Union,1965,?,8,,Il-14,transport aircraft,8,,1965,Second hand,Probably second-hand,1.6,12.8,12.8
ALG,Soviet Union,1968,?,4,,Il-18,transport aircraft,4,,1969,New,,19,76,76
ALG,Soviet Union,1965,,12,?,Il-28,bomber aircraft,12,?,1965; 1966,Second hand,Second-hand,2.88,34.56,34.56
ALG,Soviet Union,1964,?,12,,Il-28,bomber aircraft,12,,1964,Second hand,Second-hand,2.88,34.56,34.56
ALG,Soviet Union,1988,?,9,?,Il-76M,heavy transport aircraft,9,?,1989; 1990; 1991,New,,85,765,765
