Recipient,Supplier,Year of order,Number ordered,Weapon designation,Weapon description,Number delivered,Year(s) of delivery,status,Comments
Afghanistan,Russia,2004,6,aircraft engine,aircraft engine,6,2005,New,Klimov TV-3-117 turboshaft; spare engines for Mi-24 combat helicopters
Afghanistan,Russia,2002,1,An-12,transport aircraft,1,2002,Second hand,Second-hand; aid
Afghanistan,Russia,2002,3,Mi-17,transport helicopter,3,2002,Second hand,Second-hand; aid
Afghanistan,Russia,2004,4,Mi-17,transport helicopter,4,2005,Second hand,Second-hand; aid; Mi-8MTV version
Afghanistan,Russia,2009,4,Mi-17,transport helicopter,4,2009,New,$43 m deal (bought via US company); Mi-17 version
Afghanistan,Russia,2011,21,Mi-17,transport helicopter,21,2011; 2012,New,$375m deal (bought via and financed by USA); Mi-17V-5 version
Afghanistan,Russia,2010,10,Mi-17,transport helicopter,10,2010,New,Mi-17V-5 version; financed by UAE
Afghanistan,Russia,2010,6,Mi-17,transport helicopter,6,2011,Second hand,Probably second-hand; Mi-17V1 version; bought via and financed by USA; incl for training of Afghan crews and US instructors in USA
Afghanistan,Russia,2013,12,Mi-17,transport helicopter,12,2013,New,$197 m deal (bought via and financed by USA); Mi-17V-5 version
Afghanistan,Russia,2013,30,Mi-17,transport helicopter,30,2014,New,$572 m deal (bought via and financed by USA); Mi-17V-5 version
Afghanistan,Russia,2002,5,Mi-24D/Mi-25,combat helicopter,5,2002,Second hand,Second-hand; aid; status uncertain
Afghanistan,Soviet Union,1988,40,2S9 120mm,self-propelled gun,40,1988,Second hand,Second-hand; aid; handed over by Soviet forces withdrawing from Afghanistan
Afghanistan,Soviet Union,1986,400,9M37,SAM,400,1987; 1988,New,
Afghanistan,Soviet Union,1988,13,9P113,SSM launcher,13,1988,Second hand,Second-hand
Afghanistan,Soviet Union,1988,30,9P117 Uragan,SSM launcher,30,1988; 1989; 1990,New,Possibly second-hand; mainly for use against Mujahideen rebel forces; operated by Soviet crews 1988-1992
Afghanistan,Soviet Union,1977,26,AI-25,turbofan,26,1977; 1978,New,For 26 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version produced in Czechoslovakia
Afghanistan,Soviet Union,1989,12,An-12,transport aircraft,12,1989,Second hand,Second-hand
Afghanistan,Soviet Union,1956,8,An-2,light transport aircraft,8,1957,New,
Afghanistan,Soviet Union,1976,36,An-26,transport aircraft,36,1977; 1978; 1979; 1980; 1981; 1982,New,Possibly some second-hand
Afghanistan,Soviet Union,1987,3,An-26,transport aircraft,3,1987,New,
Afghanistan,Soviet Union,1984,1,An-30,reconnaissance aircraft,1,1985,Second hand,Second-hand
Afghanistan,Soviet Union,1986,73,An-32,transport aircraft,73,1987; 1988; 1989; 1990; 1991,New,An-32A version
Afghanistan,Soviet Union,1960,50,BM-13 132mm,self-propelled MRL,50,1960; 1961,Second hand,Second-hand
Afghanistan,Soviet Union,1979,142,BM-21 Grad 122mm,self-propelled MRL,142,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,
Afghanistan,Soviet Union,1979,350,BMP-1,IFV,350,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990,New,Possibly incl second-hand
Afghanistan,Soviet Union,1987,150,BMP-2,IFV,150,1987; 1988; 1989; 1990; 1991,New,Possibly incl some second-hand
Afghanistan,Soviet Union,1970,50,BRDM-1,reconnaissance AV,50,1970; 1971,Second hand,Probably second-hand
Afghanistan,Soviet Union,1979,250,BRDM-2,reconnaissance AV,250,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Probably second-hand
Afghanistan,Soviet Union,1958,250,BS-3 100mm,towed gun,250,1959; 1960; 1961; 1962,Second hand,Second-hand
Afghanistan,Soviet Union,1958,100,BTR-152,APC,100,1959; 1960,New,
Afghanistan,Soviet Union,1958,100,BTR-40,APC,100,1959; 1960,Second hand,Probably second-hand
Afghanistan,Soviet Union,1963,100,BTR-50,APC,100,1965; 1966,New,
