Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,18,Yes,2011,No,New,0.45,0.45,8.1,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,23,Yes,2012,No,New,0.45,0.45,10.35,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,120,Yes,2012,No,New,0.45,0.45,54,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,120,Yes,2013,No,New,0.45,0.45,54,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,No,71,Yes,2014,No,New,0.45,0.45,31.95,No
Afghanistan,ASV-150,APC,Armoured vehicles,2013,No,36,No,2014,No,New,0.45,0.45,16.2,No
Afghanistan,ASV-150,APC,Armoured vehicles,2013,No,99,Yes,2015,No,New,0.45,0.45,44.55,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,Yes,50,Yes,2013,No,New,0.45,0.45,22.5,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,Yes,86,Yes,2014,No,New,0.45,0.45,38.7,No
Afghanistan,ASV-150,APC,Armoured vehicles,2015,No,55,No,2015,No,New,0.45,0.45,24.75,No
Afghanistan,ASV-150,APC,Armoured vehicles,2017,No,15,No,2018,No,New,0.45,0.45,6.75,No
Afghanistan,ASV-150,APC,Armoured vehicles,2017,No,40,No,2019,No,New,0.45,0.45,18,No
Afghanistan,ASV-150,APC,Armoured vehicles,2019,Yes,55,Yes,2020,No,New,0.45,0.45,24.75,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,2,No,2013,No,Second hand,28,11.2,22.4,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,1,No,2014,No,Second hand,28,11.2,11.2,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,1,No,2015,No,Second hand,28,11.2,11.2,No
Afghanistan,Cessna-180 Skywagon,light aircraft,Aircraft,2011,No,6,Yes,2011,No,New,0.18,0.18,1.08,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2011,No,6,No,2011,No,New,1,1,6,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2011,No,20,Yes,2012,No,New,1,1,20,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,2,Yes,2018,Yes,New,1,1,2,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,6,Yes,2019,No,New,1,1,6,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,2,Yes,2020,No,New,1,1,2,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2006,No,400,Yes,2008,No,Second hand,0.13,0.05,20.8,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2006,No,400,Yes,2007,No,Second hand,0.13,0.05,20.8,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,1750,Yes,2010,No,New,0.13,0.13,227.5,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,400,Yes,2008,No,New,0.13,0.13,52,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,2000,Yes,2009,No,New,0.13,0.13,260,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,585,Yes,2011,No,New,0.13,0.13,76.05,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,2500,Yes,2011,No,New,0.13,0.13,325,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1000,Yes,2012,No,New,0.13,0.13,130,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,502,Yes,2013,Yes,New,0.13,0.13,65.26,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,237,Yes,2012,Yes,New,0.13,0.13,30.81,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1286,Yes,2011,No,Second hand,0.13,0.05,66.87,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1280,Yes,2012,No,Second hand,0.13,0.05,66.56,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2011,No,744,Yes,2012,No,New,0.13,0.13,96.72,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,450,Yes,2016,No,New,0.13,0.13,58.5,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,1223,Yes,2017,No,New,0.13,0.13,158.99,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,433,No,2017,No,New,0.13,0.13,56.29,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1800,Yes,2019,No,New,0.13,0.13,234,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,671,Yes,2018,No,New,0.13,0.13,87.23,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1383,Yes,2020,No,New,0.13,0.13,179.79,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,446,Yes,2021,No,New,0.13,0.13,57.98,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1200,Yes,2018,No,Second hand,0.13,0.05,62.4,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,200,Yes,2020,No,Second hand,0.13,0.05,10.4,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,222,Yes,2019,Yes,Second hand,0.13,0.05,11.54,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,51,Yes,2021,Yes,Second hand,0.13,0.05,2.65,No
Afghanistan,M-113,APC,Armoured vehicles,2004,Yes,188,Yes,2005,No,Second hand,0.25,0.1,18.8,No
Afghanistan,MaxxPro,APC,Armoured vehicles,2014,No,222,No,2015,No,Second hand,0.32,0.13,28.42,No
Afghanistan,MD-500E,light helicopter,Aircraft,2011,No,6,No,2011,No,New,0.7,0.7,4.2,No
Afghanistan,MD-500E,light helicopter,Aircraft,2014,No,12,No,2015,No,New,0.7,0.7,8.4,No
Afghanistan,MD-500E,light helicopter,Aircraft,2015,Yes,12,No,2016,No,New,0.7,0.7,8.4,No
Afghanistan,MD-500E,light helicopter,Aircraft,2017,No,9,No,2018,No,New,0.7,0.7,6.3,No
Afghanistan,MD-500E,light helicopter,Aircraft,2017,No,21,No,2019,No,New,0.7,0.7,14.7,No
Afghanistan,MD-500E,light helicopter,Aircraft,2019,No,6,No,2020,No,New,0.7,0.7,4.2,No
Afghanistan,MD-500E,light helicopter,Aircraft,2019,No,6,No,2021,No,New,0.7,0.7,4.2,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,100,Yes,2018,No,New,0.02,0.02,2,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,50,Yes,2017,No,New,0.02,0.02,1,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,100,Yes,2019,Yes,New,0.02,0.02,2,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,4,No,2017,No,Second hand but modernized,6.5,4.29,17.16,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,27,Yes,2018,No,Second hand but modernized,6.5,4.29,115.83,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,19,Yes,2019,No,Second hand but modernized,6.5,4.29,81.51,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,3,Yes,2020,No,Second hand but modernized,6.5,4.29,12.87,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,20,Yes,2016,No,New,0.04,0.04,0.8,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,25,Yes,2017,No,New,0.04,0.04,1,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,20,Yes,2018,No,New,0.04,0.04,0.8,No
Afghanistan,ScanEagle,UAV,Aircraft,2017,No,5,Yes,2018,No,New,0.04,0.04,0.2,No
Afghanistan,ScanEagle,UAV,Aircraft,2018,No,35,Yes,2019,No,New,0.04,0.04,1.4,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,31,Yes,2017,No,Second hand,0.13,0.05,1.61,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,47,Yes,2018,No,Second hand,0.13,0.05,2.44,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,25,Yes,2020,No,Second hand,0.13,0.05,1.3,No
Albania,MaxxPro,APC,Armoured vehicles,2016,No,3,No,2017,No,Second hand,0.32,0.13,0.38,No
Albania,MaxxPro,APC,Armoured vehicles,2018,No,37,No,2019,No,Second hand,0.32,0.13,4.74,No
Algeria,aircraft engine 1001-2000,aircraft engine,Engines,2012,No,6,Yes,2015,No,New,0.5,0.5,3,No
Algeria,aircraft engine 1001-2000,aircraft engine,Engines,2012,No,6,Yes,2016,No,New,0.5,0.5,3,No
Algeria,Beech-18,light transport aircraft,Aircraft,1962,No,2,No,1963,No,New,0.4,0.4,0.8,No
Algeria,Beech-1900,light transport aircraft,Aircraft,2000,No,6,Yes,2001,No,New,3.8,3.8,22.8,No
