Name,ICB,ISO 3166-1 
Andorra,AND,AND
United Arab Emirates,UAE,ARE
Afghanistan,AFG,AFG
Mujahedin (Afghanistan)*,AFG,AFG
Northern Alliance (Afghanistan)*,AFG,AFG
Antigua and Barbuda,AAB,ATG
Anguilla,,AIA
Albania,ALB,ALB
Armenia,ARM,ARM
Angola,ANG,AGO
FNLA (Angola)*,ANG,AGO
UNITA (Angola)*,ANG,AGO
Antarctica,,ATA
Argentina,ARG,ARG
American Samoa,,ASM
Austria,AUS,AUT
Australia,AUL,AUS
Aruba,,ABW
Azerbaijan,AZE,AZE
Bosnia and Herzegovina,BOS,BIH
Barbados,BAR,BRB
Bangladesh,BNG,BGD
Belgium,BEL,BEL
Burkina Faso,BFO,BFA
Bulgaria,BUL,BGR
Bahrain,BAH,BHR
Burundi,BUI,BDI
Benin,BEN,BEN
Bermuda,,BMU
Brunei,BRU,BRN
Bolivia ,BOL,BOL
Brazil,BRA,BRA
Bahamas,BHM,BHS
Bhutan,BHU,BTN
Botswana,BOT,BWA
Belarus,BLR,BLR
Belize,BLZ,BLZ
Canada,CAN,CAN
DR Congo,CON,COD
"Congo, DR",CON,COD
Central African Republic,CEN,CAF
Congo,DRC,COG
"Congo, Republic",DRC,COG
Switzerland,SWZ,CHE
Côte d'Ivoire,CDI,CIV
Chile,CHL,CHL
Cameroon,CAO,CMR
China,CHN,CHN
Colombia,COL,COL
Costa Rica,COS,CRI
Cuba,CUB,CUB
Anti-Castro rebels (Cuba)*,CUB,CUB
Cabo Verde,CAP,CPV
Curaçao,CUW,CUW
Cyprus,CYP,CYP
Czechoslovakia,CZE,CZE
Czechia,CZR,CZE
Germany (East Germany),GDR,DEU
German Democratic Republic,GDR,DEU
Germany (West Germany),GFR,DEU
Germany (Prussia),GMY,DEU
Djibouti,DJI,DJI
Denmark,DEN,DNK
Dominica,DMA,DMA
Dominican Republic,DOM,DOM
Algeria,ALG,DZA
Ecuador,ECU,ECU
Estonia,EST,EST
Egypt,EGY,EGY
Western Sahara,SPA,ESH
Eritrea,ERI,ERI
Spain,SPN,ESP
Ethiopia,ETH,ETH
ELF (Ethiopia)*,ETH,ETH
EPLF (Ethiopia)*,ETH,ETH
Finland,FIN,FIN
Fiji,FIJ,FJI
France,FRN,FRA
Gabon,GAB,GAB
Great Britain,UKG,GBR
United Kingdom,UKG,GBR
Grenada,GRN,GRD
Georgia,GRG,GEO
Ghana,GHA,GHA
Greenland,GRL,GRL
"Gambia, The",GAM,GMB
Gambia,GAM,GMB
Guinea,GUI,GIN
Equatorial Guinea,EQG,GNQ
Greece,GRC,GRC
Guatemala,GUA,GTM
Armas (Guatemala)*,GUA,GTM
